# w,mag,phase
6.724427423484249378e-01,2.689772161327642973e-04,8.999229437034198043e+01
6.913203779678130934e-01,2.765282807033993869e-04,8.999207804827460677e+01
7.107279696773418642e-01,2.842913286041158071e-04,8.999185565333196735e+01
7.306803950529503489e-01,2.922723109427171543e-04,8.999162701502743289e+01
7.511929493320964601e-01,3.004773458983205146e-04,8.999139195808797353e+01
7.722813571388642551e-01,3.089127234119796788e-04,8.999115030232012202e+01
7.939617845382279659e-01,3.175849100090228218e-04,8.999090186247148893e+01
8.162508514287228900e-01,3.265005537568047012e-04,8.999064644808898095e+01
8.391656442830156548e-01,3.356664893616819628e-04,8.999038386337267070e+01
8.627237292461450435e-01,3.450897434091177145e-04,8.999011390702564483e+01
8.869431656014709064e-01,3.547775397509411754e-04,8.998983637209981623e+01
9.118425196146571210e-01,3.647373050438971662e-04,8.998955104583708930e+01
9.374408787662995568e-01,3.749766744437356240e-04,8.998925770950633307e+01
